city;longitude;latitude
Yerevan;44.4991;40.1792
Gyumri;43.8475;40.7894
Vanadzor;44.4939;40.8128
Vagharshapat;44.2946;40.1656
Hrazdan;44.7667;40.5000
Abovyan;44.6333;40.2667
Kapan;46.4167;39.2000
Armavir;44.0500;40.1500
Artashat;44.5500;39.9667
Gavar;45.1333;40.3500
Ijevan;45.1390;40.8788
Dilijan;44.8630;40.7400
Charentsavan;44.6460;40.4050
Sevan;44.9990;40.5480
Sisian;45.5170;39.5200
Ashtarak;44.3590;40.2990
Martuni;45.3050;40.1380
Spitak;44.2670;40.8330
Stepanavan;44.3850;41.0090
Masis;44.3770;40.0650
Artik;43.8597;40.3744
Aparan;44.3589;40.5933
Ararat;44.7044;39.8308
Yeghvard;44.4833;40.3167
Nor Hachn;44.5833;40.3000
Talin;43.8756;40.3917
Alaverdi;44.6736;41.0977
Akhtala;44.7639;41.1683
Tashir;44.2847;41.1203
Berd;45.3894;40.8825
Chambarak;45.3542;40.5967
Vardenis;45.7283;40.1833
Meghri;46.2417;38.9028
Agarak;46.5444;39.2067
Kajaran;46.1500;39.1667
Goris;46.3389;39.5111
Yeghegnadzor;45.3333;39.7639
Vayk;45.4667;39.6833
Jermuk;45.6747;39.8417
Tsaghkadzor;44.7200;40.5328
Byureghavan;44.6000;40.3167
Noratus;45.1833;40.3833
